kind,type,precision,recall,f1,gold,pred,correct
entity,Health_factors,0.7256011315417256,0.76,0.7424023154848047,675,707,513
entity,disease,0.8692307692307693,0.9201954397394136,0.8939873417721519,1228,1300,1130
entity,drug,0.6973684210526315,0.8548387096774194,0.7681159420289855,248,304,212
entity,gene,0.696969696969697,0.7523364485981309,0.7235955056179776,214,231,161
entity,method,0.7553191489361702,0.8360507246376812,0.7936371453138436,1104,1222,923
entity,physiology,0.6377358490566037,0.6954732510288066,0.6653543307086615,243,265,169
entity,region,0.7051282051282052,0.8029197080291971,0.7508532423208191,137,156,110
entity,signs,0.5735294117647058,0.65,0.609375,60,68,39
entity,symptom,0.5,0.37254901960784315,0.42696629213483145,51,38,19
entity,OVERALL,0.763458401305057,0.8272727272727273,0.7940855653860138,3960,4291,3276
relation,abbreviation_for,0.7329192546583851,0.7919463087248322,0.7612903225806452,149,161,118
relation,associated_with,0.3548387096774194,0.33647058823529413,0.34541062801932365,425,403,143
relation,characteristic_of,0.2602739726027397,0.1792452830188679,0.21229050279329606,106,73,19
relation,help_diagnose,0.40384615384615385,0.5915492957746479,0.48000000000000004,71,104,42
relation,hyponym_of,0.53,0.6794871794871795,0.5955056179775281,156,200,106
relation,located_in,0.3424657534246575,0.32894736842105265,0.33557046979865773,76,73,25
relation,occurs_in,0.5026455026455027,0.6690140845070423,0.5740181268882175,142,189,95
relation,risk_factor_of,0.5474452554744526,0.4716981132075472,0.5067567567567567,159,137,75
relation,treatment_for,0.3765432098765432,0.4178082191780822,0.3961038961038961,146,162,61
relation,OVERALL,0.45539280958721706,0.4783216783216783,0.4665757162346521,1430,1502,684
